metric,n,mean,median,std,min,p05,p95,max,skewness,ex_kurtosis,zero_frac
nts_raw,1600,185.6671,80.9302,299.1962,11.8722,14.8265,1359.696,1386.1699,3.3723,10.6729,0.0
ots,1600,2.8369,0.989,3.6818,0.0,0.1189,8.9498,25.23,2.2674,6.2908,0.04
dds,1600,459.9124,198.2544,747.3091,28.5167,35.4308,3392.8226,3461.6537,3.3768,10.6935,0.0
hpp,1600,36.475,35.0,8.1886,22.5,25.0,55.125,67.5,1.3777,2.5882,0.0
aac,1600,418.8079,155.5224,741.1844,4.9167,9.1563,3355.8225,3367.8716,3.3889,10.7471,0.0
dsr_hp,1600,4.6295,2.732,4.962,1.1,1.1,19.3239,26.2821,2.5869,6.2038,0.0
hpw_ss,1600,0.7256,0.8,0.2813,0.2,0.2,1.0,1.0,-0.711,-0.9028,0.0
edpr_ss,1600,3.0658,0.9282,4.1014,0.0,0.0,13.003,21.0,1.6051,2.5253,0.1231
cts_ss,1600,1.3317,1.4118,0.9104,0.0,0.2972,2.8165,4.23,1.2379,1.3892,0.04
