npc_rarity,n_pairs,hpp_share,aac_share,dsr_share,edpr_share,cts_share,mean_ots,mean_dds
Mook,288,0.668,0.289,0.042,0.655,0.345,1.141,42.4
Tough,192,0.202,0.781,0.017,0.71,0.29,2.99,175.39
HardenedMook,160,0.19,0.785,0.025,0.724,0.276,2.368,182.81
HardenedLieutenant,128,0.096,0.894,0.01,0.68,0.32,2.821,383.59
Elite,528,0.085,0.907,0.009,0.702,0.298,3.386,426.23
HardenedMiniBoss,80,0.108,0.869,0.023,0.675,0.325,2.849,452.15
Boss,144,0.025,0.969,0.006,0.736,0.264,5.262,1940.36
HardenedBoss,32,0.029,0.962,0.009,0.532,0.468,1.133,1959.05
